,provincia,poblacion,total,nuevas,probables,lat,lng,created_at
1365,Sucumbíos,230503,109,0,3,0.084722,-76.882778,26/02/2021
1366,Tungurahua,590600,432,1,326,-1.241667,-78.619722,26/02/2021
1367,Zamora Chinchipe,120416,60,1,1,-4.12,-78.8,26/02/2021
1368,Azuay,881394,305,1,26,-2.897414,-79.004481,27/02/2021
1369,Bolívar,209933,81,0,17,-1.605556,-79.003056,27/02/2021
1370,Carchi,186869,186,0,3,0.81218,-77.71633,27/02/2021
1371,Cañar,281396,112,0,7,-2.733333,-78.833333,27/02/2021
1372,Chimborazo,524004,398,1,129,-1.674347,-78.648294,27/02/2021
1373,Cotopaxi,488716,385,7,82,-0.933333,-78.616667,27/02/2021
1374,El Oro,715751,720,2,217,-3.266667,-79.966667,27/02/2021
1375,Esmeraldas,591083,267,0,58,1.05,-79.2,27/02/2021
1376,Galápagos,33042,8,0,4,-0.7999999999999999,-89.4,27/02/2021
1377,Guayas,4387434,2070,4,1719,-2.183333,-79.883333,27/02/2021
1378,Imbabura,476257,253,0,18,0.362678,-78.130667,27/02/2021
1379,Loja,521154,291,2,54,-3.983333,-79.2,27/02/2021
1380,Los Ríos,921763,380,1,248,-1.8,-79.533333,27/02/2021
1381,Manabí,1562079,1572,15,1081,-1.056181,-80.455217,27/02/2021
1382,Morona Santiago,196535,41,0,0,-2.3,-78.116667,27/02/2021
1383,Napo,133705,84,0,3,-0.989,-77.8159,27/02/2021
1384,Orellana,161338,59,0,20,-0.466667,-76.966667,27/02/2021
1385,Pastaza,114202,67,0,17,-1.066667,-78.001111,27/02/2021
1386,Pichincha,3228233,2282,22,313,-0.218611,-78.509722,27/02/2021
1387,Santa Elena,401178,410,0,280,-2.2267,-80.8583,27/02/2021
1388,Sto. Domingo Tsáchilas,511151,460,6,121,-0.254167,-79.171944,27/02/2021
1389,Sucumbíos,230503,109,0,3,0.084722,-76.882778,27/02/2021
1390,Tungurahua,590600,432,0,326,-1.241667,-78.619722,27/02/2021
1391,Zamora Chinchipe,120416,60,0,1,-4.12,-78.8,27/02/2021
1392,Azuay,881394,305,0,26,-2.897414,-79.004481,28/02/2021
1393,Bolívar,209933,81,0,17,-1.605556,-79.003056,28/02/2021
1394,Carchi,186869,187,1,3,0.81218,-77.71633,28/02/2021
1395,Cañar,281396,112,0,7,-2.733333,-78.833333,28/02/2021
1396,Chimborazo,524004,398,0,129,-1.674347,-78.648294,28/02/2021
1397,Cotopaxi,488716,388,3,87,-0.933333,-78.616667,28/02/2021
1398,El Oro,715751,721,1,217,-3.266667,-79.966667,28/02/2021
1399,Esmeraldas,591083,267,0,59,1.05,-79.2,28/02/2021
1400,Galápagos,33042,8,0,4,-0.7999999999999999,-89.4,28/02/2021
1401,Guayas,4387434,2070,0,1719,-2.183333,-79.883333,28/02/2021
1402,Imbabura,476257,258,5,18,0.362678,-78.130667,28/02/2021
1403,Loja,521154,291,0,54,-3.983333,-79.2,28/02/2021
1404,Los Ríos,921763,380,0,248,-1.8,-79.533333,28/02/2021
1405,Manabí,1562079,1573,1,1081,-1.056181,-80.455217,28/02/2021
1406,Morona Santiago,196535,41,0,0,-2.3,-78.116667,28/02/2021
1407,Napo,133705,84,0,3,-0.989,-77.8159,28/02/2021
1408,Orellana,161338,59,0,20,-0.466667,-76.966667,28/02/2021
1409,Pastaza,114202,67,0,17,-1.066667,-78.001111,28/02/2021
1410,Pichincha,3228233,2296,14,313,-0.218611,-78.509722,28/02/2021
1411,Santa Elena,401178,410,0,280,-2.2267,-80.8583,28/02/2021
1412,Sto. Domingo Tsáchilas,511151,461,1,121,-0.254167,-79.171944,28/02/2021
1413,Sucumbíos,230503,109,0,3,0.084722,-76.882778,28/02/2021
1414,Tungurahua,590600,432,0,326,-1.241667,-78.619722,28/02/2021
1415,Zamora Chinchipe,120416,60,0,1,-4.12,-78.8,28/02/2021
1416,Azuay,881394,305,0,26,-2.897414,-79.004481,01/03/2021
1417,Bolívar,209933,81,0,17,-1.605556,-79.003056,01/03/2021
1418,Carchi,186869,187,0,3,0.81218,-77.71633,01/03/2021
1419,Cañar,281396,112,0,7,-2.733333,-78.833333,01/03/2021
1420,Chimborazo,524004,398,0,129,-1.674347,-78.648294,01/03/2021
1421,Cotopaxi,488716,388,0,87,-0.933333,-78.616667,01/03/2021
1422,El Oro,715751,721,0,217,-3.266667,-79.966667,01/03/2021
1423,Esmeraldas,591083,267,0,59,1.05,-79.2,01/03/2021
1424,Galápagos,33042,8,0,4,-0.7999999999999999,-89.4,01/03/2021
1425,Guayas,4387434,2074,4,1719,-2.183333,-79.883333,01/03/2021
1426,Imbabura,476257,258,0,18,0.362678,-78.130667,01/03/2021
1427,Loja,521154,291,0,54,-3.983333,-79.2,01/03/2021
1428,Los Ríos,921763,381,1,248,-1.8,-79.533333,01/03/2021
1429,Manabí,1562079,1577,4,1082,-1.056181,-80.455217,01/03/2021
1430,Morona Santiago,196535,41,0,0,-2.3,-78.116667,01/03/2021
1431,Napo,133705,84,0,3,-0.989,-77.8159,01/03/2021
1432,Orellana,161338,59,0,20,-0.466667,-76.966667,01/03/2021
1433,Pastaza,114202,67,0,17,-1.066667,-78.001111,01/03/2021
1434,Pichincha,3228233,2303,7,313,-0.218611,-78.509722,01/03/2021
1435,Santa Elena,401178,410,0,280,-2.2267,-80.8583,01/03/2021
1436,Sto. Domingo Tsáchilas,511151,465,4,121,-0.254167,-79.171944,01/03/2021
1437,Sucumbíos,230503,109,0,3,0.084722,-76.882778,01/03/2021
1438,Tungurahua,590600,432,0,326,-1.241667,-78.619722,01/03/2021
1439,Zamora Chinchipe,120416,60,0,1,-4.12,-78.8,01/03/2021
1440,Azuay,881394,305,0,26,-2.897414,-79.004481,02/03/2021
1441,Bolívar,209933,81,0,17,-1.605556,-79.003056,02/03/2021
1442,Carchi,186869,191,4,3,0.81218,-77.71633,02/03/2021
1443,Cañar,281396,112,0,7,-2.733333,-78.833333,02/03/2021
1444,Chimborazo,524004,398,0,129,-1.674347,-78.648294,02/03/2021
1445,Cotopaxi,488716,389,1,87,-0.933333,-78.616667,02/03/2021
1446,El Oro,715751,721,0,217,-3.266667,-79.966667,02/03/2021
1447,Esmeraldas,591083,267,0,59,1.05,-79.2,02/03/2021
1448,Galápagos,33042,8,0,4,-0.7999999999999999,-89.4,02/03/2021
1449,Guayas,4387434,2074,0,1719,-2.183333,-79.883333,02/03/2021
1450,Imbabura,476257,258,0,18,0.362678,-78.130667,02/03/2021
1451,Loja,521154,291,0,54,-3.983333,-79.2,02/03/2021
1452,Los Ríos,921763,381,0,248,-1.8,-79.533333,02/03/2021
1453,Manabí,1562079,1580,3,1082,-1.056181,-80.455217,02/03/2021
1454,Morona Santiago,196535,41,0,0,-2.3,-78.116667,02/03/2021
1455,Napo,133705,84,0,3,-0.989,-77.8159,02/03/2021
1456,Orellana,161338,59,0,20,-0.466667,-76.966667,02/03/2021
1457,Pastaza,114202,67,0,17,-1.066667,-78.001111,02/03/2021
1458,Pichincha,3228233,2311,8,314,-0.218611,-78.509722,02/03/2021
1459,Santa Elena,401178,410,0,280,-2.2267,-80.8583,02/03/2021
1460,Sto. Domingo Tsáchilas,511151,465,0,121,-0.254167,-79.171944,02/03/2021
1461,Sucumbíos,230503,109,0,3,0.084722,-76.882778,02/03/2021
1462,Tungurahua,590600,432,0,326,-1.241667,-78.619722,02/03/2021
1463,Zamora Chinchipe,120416,61,1,1,-4.12,-78.8,02/03/2021
1464,Azuay,881394,312,7,27,-2.897414,-79.004481,03/03/2021
1465,Bolívar,209933,82,1,17,-1.605556,-79.003056,03/03/2021
1466,Carchi,186869,192,1,3,0.81218,-77.71633,03/03/2021
1467,Cañar,281396,112,0,7,-2.733333,-78.833333,03/03/2021
1468,Chimborazo,524004,399,1,129,-1.674347,-78.648294,03/03/2021
1469,Cotopaxi,488716,390,1,87,-0.933333,-78.616667,03/03/2021
1470,El Oro,715751,722,1,217,-3.266667,-79.966667,03/03/2021
1471,Esmeraldas,591083,272,5,59,1.05,-79.2,03/03/2021
1472,Galápagos,33042,8,0,4,-0.7999999999999999,-89.4,03/03/2021
1473,Guayas,4387434,2078,4,1719,-2.183333,-79.883333,03/03/2021
1474,Imbabura,476257,263,5,18,0.362678,-78.130667,03/03/2021
1475,Loja,521154,296,5,55,-3.983333,-79.2,03/03/2021
1476,Los Ríos,921763,392,11,251,-1.8,-79.533333,03/03/2021
1477,Manabí,1562079,1585,5,1084,-1.056181,-80.455217,03/03/2021
1478,Morona Santiago,196535,43,2,0,-2.3,-78.116667,03/03/2021
1479,Napo,133705,84,0,3,-0.989,-77.8159,03/03/2021
1480,Orellana,161338,59,0,20,-0.466667,-76.966667,03/03/2021
1481,Pastaza,114202,67,0,17,-1.066667,-78.001111,03/03/2021
1482,Pichincha,3228233,2322,11,315,-0.218611,-78.509722,03/03/2021
1483,Santa Elena,401178,410,0,280,-2.2267,-80.8583,03/03/2021
1484,Sto. Domingo Tsáchilas,511151,465,0,121,-0.254167,-79.171944,03/03/2021
1485,Sucumbíos,230503,110,1,3,0.084722,-76.882778,03/03/2021
1486,Tungurahua,590600,432,0,326,-1.241667,-78.619722,03/03/2021
1487,Zamora Chinchipe,120416,62,1,2,-4.12,-78.8,03/03/2021
1488,Azuay,881394,312,0,27,-2.897414,-79.004481,04/03/2021
1489,Bolívar,209933,82,0,17,-1.605556,-79.003056,04/03/2021
1490,Carchi,186869,192,0,3,0.81218,-77.71633,04/03/2021
1491,Cañar,281396,112,0,7,-2.733333,-78.833333,04/03/2021
1492,Chimborazo,524004,399,0,129,-1.674347,-78.648294,04/03/2021
1493,Cotopaxi,488716,390,0,87,-0.933333,-78.616667,04/03/2021
1494,El Oro,715751,724,2,217,-3.266667,-79.966667,04/03/2021
1495,Esmeraldas,591083,272,0,59,1.05,-79.2,04/03/2021
1496,Galápagos,33042,8,0,5,-0.7999999999999999,-89.4,04/03/2021
1497,Guayas,4387434,2078,0,1719,-2.183333,-79.883333,04/03/2021
1498,Imbabura,476257,264,1,18,0.362678,-78.130667,04/03/2021
1499,Loja,521154,300,4,55,-3.983333,-79.2,04/03/2021
1500,Los Ríos,921763,393,1,251,-1.8,-79.533333,04/03/2021
1501,Manabí,1562079,1593,8,1085,-1.056181,-80.455217,04/03/2021
1502,Morona Santiago,196535,43,0,0,-2.3,-78.116667,04/03/2021
1503,Napo,133705,84,0,3,-0.989,-77.8159,04/03/2021
1504,Orellana,161338,59,0,20,-0.466667,-76.966667,04/03/2021
1505,Pastaza,114202,67,0,17,-1.066667,-78.001111,04/03/2021
1506,Pichincha,3228233,2337,15,315,-0.218611,-78.509722,04/03/2021
1507,Santa Elena,401178,410,0,280,-2.2267,-80.8583,04/03/2021
1508,Sto. Domingo Tsáchilas,511151,468,3,121,-0.254167,-79.171944,04/03/2021
1509,Sucumbíos,230503,110,0,3,0.084722,-76.882778,04/03/2021
1510,Tungurahua,590600,432,0,327,-1.241667,-78.619722,04/03/2021
1511,Zamora Chinchipe,120416,63,1,2,-4.12,-78.8,04/03/2021
1512,Azuay,881394,316,4,28,-2.897414,-79.004481,05/03/2021
1513,Bolívar,209933,82,0,17,-1.605556,-79.003056,05/03/2021
1514,Carchi,186869,193,1,3,0.81218,-77.71633,05/03/2021
1515,Cañar,281396,112,0,7,-2.733333,-78.833333,05/03/2021
1516,Chimborazo,524004,401,2,129,-1.674347,-78.648294,05/03/2021
1517,Cotopaxi,488716,390,0,87,-0.933333,-78.616667,05/03/2021
1518,El Oro,715751,726,2,217,-3.266667,-79.966667,05/03/2021
1519,Esmeraldas,591083,274,2,59,1.05,-79.2,05/03/2021
1520,Galápagos,33042,8,0,5,-0.7999999999999999,-89.4,05/03/2021
1521,Guayas,4387434,2084,6,1719,-2.183333,-79.883333,05/03/2021
1522,Imbabura,476257,264,0,18,0.362678,-78.130667,05/03/2021
1523,Loja,521154,301,1,56,-3.983333,-79.2,05/03/2021
1524,Los Ríos,921763,393,0,251,-1.8,-79.533333,05/03/2021
1525,Manabí,1562079,1596,3,1086,-1.056181,-80.455217,05/03/2021
1526,Morona Santiago,196535,44,1,0,-2.3,-78.116667,05/03/2021
1527,Napo,133705,84,0,3,-0.989,-77.8159,05/03/2021
1528,Orellana,161338,59,0,20,-0.466667,-76.966667,05/03/2021
1529,Pastaza,114202,67,0,17,-1.066667,-78.001111,05/03/2021
1530,Pichincha,3228233,2339,2,316,-0.218611,-78.509722,05/03/2021
1531,Santa Elena,401178,410,0,280,-2.2267,-80.8583,05/03/2021
1532,Sto. Domingo Tsáchilas,511151,477,9,122,-0.254167,-79.171944,05/03/2021
1533,Sucumbíos,230503,110,0,3,0.084722,-76.882778,05/03/2021
1534,Tungurahua,590600,432,0,327,-1.241667,-78.619722,05/03/2021
1535,Zamora Chinchipe,120416,63,0,2,-4.12,-78.8,05/03/2021
1536,Azuay,881394,316,0,28,-2.897414,-79.004481,06/03/2021
1537,Bolívar,209933,82,0,17,-1.605556,-79.003056,06/03/2021
1538,Carchi,186869,194,1,3,0.81218,-77.71633,06/03/2021
1539,Cañar,281396,112,0,8,-2.733333,-78.833333,06/03/2021
1540,Chimborazo,524004,401,0,129,-1.674347,-78.648294,06/03/2021
1541,Cotopaxi,488716,390,0,87,-0.933333,-78.616667,06/03/2021
1542,El Oro,715751,727,1,217,-3.266667,-79.966667,06/03/2021
1543,Esmeraldas,591083,275,1,59,1.05,-79.2,06/03/2021
1544,Galápagos,33042,8,0,5,-0.7999999999999999,-89.4,06/03/2021
1545,Guayas,4387434,2084,0,1719,-2.183333,-79.883333,06/03/2021
1546,Imbabura,476257,264,0,18,0.362678,-78.130667,06/03/2021
1547,Loja,521154,302,1,56,-3.983333,-79.2,06/03/2021
1548,Los Ríos,921763,393,0,251,-1.8,-79.533333,06/03/2021
1549,Manabí,1562079,1608,12,1084,-1.056181,-80.455217,06/03/2021
1550,Morona Santiago,196535,45,1,0,-2.3,-78.116667,06/03/2021
1551,Napo,133705,84,0,3,-0.989,-77.8159,06/03/2021
1552,Orellana,161338,59,0,20,-0.466667,-76.966667,06/03/2021
1553,Pastaza,114202,67,0,17,-1.066667,-78.001111,06/03/2021
1554,Pichincha,3228233,2341,2,319,-0.218611,-78.509722,06/03/2021
1555,Santa Elena,401178,410,0,280,-2.2267,-80.8583,06/03/2021
1556,Sto. Domingo Tsáchilas,511151,479,2,122,-0.254167,-79.171944,06/03/2021
1557,Sucumbíos,230503,110,0,3,0.084722,-76.882778,06/03/2021
1558,Tungurahua,590600,432,0,327,-1.241667,-78.619722,06/03/2021
1559,Zamora Chinchipe,120416,63,0,2,-4.12,-78.8,06/03/2021
1560,Azuay,881394,316,0,28,-2.897414,-79.004481,07/03/2021
1561,Bolívar,209933,82,0,17,-1.605556,-79.003056,07/03/2021
1562,Carchi,186869,194,0,3,0.81218,-77.71633,07/03/2021
1563,Cañar,281396,112,0,8,-2.733333,-78.833333,07/03/2021
1564,Chimborazo,524004,401,0,129,-1.674347,-78.648294,07/03/2021
1565,Cotopaxi,488716,390,0,88,-0.933333,-78.616667,07/03/2021
1566,El Oro,715751,727,0,217,-3.266667,-79.966667,07/03/2021
1567,Esmeraldas,591083,276,1,59,1.05,-79.2,07/03/2021
1568,Galápagos,33042,8,0,5,-0.7999999999999999,-89.4,07/03/2021
1569,Guayas,4387434,2084,0,1719,-2.183333,-79.883333,07/03/2021
1570,Imbabura,476257,264,0,18,0.362678,-78.130667,07/03/2021
1571,Loja,521154,303,1,56,-3.983333,-79.2,07/03/2021
1572,Los Ríos,921763,393,0,253,-1.8,-79.533333,07/03/2021
1573,Manabí,1562079,1614,6,1087,-1.056181,-80.455217,07/03/2021
1574,Morona Santiago,196535,45,0,0,-2.3,-78.116667,07/03/2021
1575,Napo,133705,84,0,3,-0.989,-77.8159,07/03/2021
1576,Orellana,161338,59,0,20,-0.466667,-76.966667,07/03/2021
1577,Pastaza,114202,67,0,17,-1.066667,-78.001111,07/03/2021
1578,Pichincha,3228233,2344,3,320,-0.218611,-78.509722,07/03/2021
1579,Santa Elena,401178,410,0,280,-2.2267,-80.8583,07/03/2021
1580,Sto. Domingo Tsáchilas,511151,480,1,122,-0.254167,-79.171944,07/03/2021
1581,Sucumbíos,230503,110,0,3,0.084722,-76.882778,07/03/2021
1582,Tungurahua,590600,432,0,327,-1.241667,-78.619722,07/03/2021
1583,Zamora Chinchipe,120416,63,0,2,-4.12,-78.8,07/03/2021
1584,Azuay,881394,316,0,28,-2.897414,-79.004481,08/03/2021
1585,Bolívar,209933,83,1,17,-1.605556,-79.003056,08/03/2021
1586,Carchi,186869,194,0,3,0.81218,-77.71633,08/03/2021
1587,Cañar,281396,112,0,8,-2.733333,-78.833333,08/03/2021
1588,Chimborazo,524004,401,0,129,-1.674347,-78.648294,08/03/2021
1589,Cotopaxi,488716,390,0,88,-0.933333,-78.616667,08/03/2021
1590,El Oro,715751,727,0,217,-3.266667,-79.966667,08/03/2021
1591,Esmeraldas,591083,276,0,59,1.05,-79.2,08/03/2021
1592,Galápagos,33042,8,0,5,-0.7999999999999999,-89.4,08/03/2021
1593,Guayas,4387434,2084,0,1719,-2.183333,-79.883333,08/03/2021
1594,Imbabura,476257,264,0,18,0.362678,-78.130667,08/03/2021
1595,Loja,521154,304,1,56,-3.983333,-79.2,08/03/2021
1596,Los Ríos,921763,393,0,253,-1.8,-79.533333,08/03/2021
1597,Manabí,1562079,1616,2,1087,-1.056181,-80.455217,08/03/2021
1598,Morona Santiago,196535,45,0,0,-2.3,-78.116667,08/03/2021
1599,Napo,133705,84,0,3,-0.989,-77.8159,08/03/2021
1600,Orellana,161338,59,0,20,-0.466667,-76.966667,08/03/2021
1601,Pastaza,114202,67,0,17,-1.066667,-78.001111,08/03/2021
1602,Pichincha,3228233,2344,0,320,-0.218611,-78.509722,08/03/2021
1603,Santa Elena,401178,410,0,280,-2.2267,-80.8583,08/03/2021
1604,Sto. Domingo Tsáchilas,511151,480,0,122,-0.254167,-79.171944,08/03/2021
1605,Sucumbíos,230503,110,0,3,0.084722,-76.882778,08/03/2021
1606,Tungurahua,590600,432,0,327,-1.241667,-78.619722,08/03/2021
1607,Zamora Chinchipe,120416,63,0,2,-4.12,-78.8,08/03/2021
1608,Azuay,881394,316,0,28,-2.897414,-79.004481,09/03/2021
1609,Bolívar,209933,83,0,17,-1.605556,-79.003056,09/03/2021
1610,Carchi,186869,194,0,3,0.81218,-77.71633,09/03/2021
1611,Cañar,281396,112,0,8,-2.733333,-78.833333,09/03/2021
1612,Chimborazo,524004,401,0,129,-1.674347,-78.648294,09/03/2021
1613,Cotopaxi,488716,391,1,88,-0.933333,-78.616667,09/03/2021
1614,El Oro,715751,729,2,217,-3.266667,-79.966667,09/03/2021
1615,Esmeraldas,591083,276,0,59,1.05,-79.2,09/03/2021
1616,Galápagos,33042,8,0,5,-0.7999999999999999,-89.4,09/03/2021
1617,Guayas,4387434,2085,1,1719,-2.183333,-79.883333,09/03/2021
1618,Imbabura,476257,268,4,20,0.362678,-78.130667,09/03/2021
1619,Loja,521154,304,0,56,-3.983333,-79.2,09/03/2021
1620,Los Ríos,921763,393,0,253,-1.8,-79.533333,09/03/2021
1621,Manabí,1562079,1621,5,1087,-1.056181,-80.455217,09/03/2021
1622,Morona Santiago,196535,45,0,0,-2.3,-78.116667,09/03/2021
1623,Napo,133705,84,0,3,-0.989,-77.8159,09/03/2021
1624,Orellana,161338,59,0,20,-0.466667,-76.966667,09/03/2021
1625,Pastaza,114202,67,0,17,-1.066667,-78.001111,09/03/2021
1626,Pichincha,3228233,2353,9,320,-0.218611,-78.509722,09/03/2021
1627,Santa Elena,401178,410,0,280,-2.2267,-80.8583,09/03/2021
1628,Sto. Domingo Tsáchilas,511151,480,0,123,-0.254167,-79.171944,09/03/2021
1629,Sucumbíos,230503,111,1,3,0.084722,-76.882778,09/03/2021
1630,Tungurahua,590600,432,0,327,-1.241667,-78.619722,09/03/2021
1631,Zamora Chinchipe,120416,63,0,2,-4.12,-78.8,09/03/2021
1632,Azuay,881394,316,0,28,-2.897414,-79.004481,10/03/2021
1633,Bolívar,209933,83,0,17,-1.605556,-79.003056,10/03/2021
1634,Carchi,186869,194,0,3,0.81218,-77.71633,10/03/2021
1635,Cañar,281396,112,0,8,-2.733333,-78.833333,10/03/2021
1636,Chimborazo,524004,401,0,129,-1.674347,-78.648294,10/03/2021
1637,Cotopaxi,488716,391,0,88,-0.933333,-78.616667,10/03/2021
1638,El Oro,715751,729,0,218,-3.266667,-79.966667,10/03/2021
1639,Esmeraldas,591083,277,1,59,1.05,-79.2,10/03/2021
1640,Galápagos,33042,8,0,5,-0.7999999999999999,-89.4,10/03/2021
1641,Guayas,4387434,2087,2,1719,-2.183333,-79.883333,10/03/2021
1642,Imbabura,476257,271,3,20,0.362678,-78.130667,10/03/2021
1643,Loja,521154,311,7,56,-3.983333,-79.2,10/03/2021
1644,Los Ríos,921763,393,0,253,-1.8,-79.533333,10/03/2021
1645,Manabí,1562079,1627,6,1088,-1.056181,-80.455217,10/03/2021
1646,Morona Santiago,196535,46,1,0,-2.3,-78.116667,10/03/2021
1647,Napo,133705,85,1,3,-0.989,-77.8159,10/03/2021
1648,Orellana,161338,59,0,20,-0.466667,-76.966667,10/03/2021
1649,Pastaza,114202,67,0,17,-1.066667,-78.001111,10/03/2021
1650,Pichincha,3228233,2362,9,321,-0.218611,-78.509722,10/03/2021
1651,Santa Elena,401178,410,0,280,-2.2267,-80.8583,10/03/2021
1652,Sto. Domingo Tsáchilas,511151,482,2,123,-0.254167,-79.171944,10/03/2021
1653,Sucumbíos,230503,111,0,3,0.084722,-76.882778,10/03/2021
1654,Tungurahua,590600,432,0,327,-1.241667,-78.619722,10/03/2021
1655,Zamora Chinchipe,120416,64,1,2,-4.12,-78.8,10/03/2021
1656,Azuay,881394,316,0,28,-2.897414,-79.004481,11/03/2021
1657,Bolívar,209933,83,0,17,-1.605556,-79.003056,11/03/2021
1658,Carchi,186869,196,2,3,0.81218,-77.71633,11/03/2021
1659,Cañar,281396,112,0,8,-2.733333,-78.833333,11/03/2021
1660,Chimborazo,524004,401,0,129,-1.674347,-78.648294,11/03/2021
1661,Cotopaxi,488716,391,0,88,-0.933333,-78.616667,11/03/2021
1662,El Oro,715751,730,1,218,-3.266667,-79.966667,11/03/2021
1663,Esmeraldas,591083,277,0,59,1.05,-79.2,11/03/2021
1664,Galápagos,33042,8,0,5,-0.7999999999999999,-89.4,11/03/2021
1665,Guayas,4387434,2089,2,1719,-2.183333,-79.883333,11/03/2021
1666,Imbabura,476257,271,0,20,0.362678,-78.130667,11/03/2021
1667,Loja,521154,312,1,56,-3.983333,-79.2,11/03/2021
1668,Los Ríos,921763,393,0,253,-1.8,-79.533333,11/03/2021
1669,Manabí,1562079,1632,5,1088,-1.056181,-80.455217,11/03/2021
1670,Morona Santiago,196535,46,0,0,-2.3,-78.116667,11/03/2021
1671,Napo,133705,85,0,3,-0.989,-77.8159,11/03/2021
1672,Orellana,161338,59,0,20,-0.466667,-76.966667,11/03/2021
1673,Pastaza,114202,67,0,17,-1.066667,-78.001111,11/03/2021
1674,Pichincha,3228233,2369,7,321,-0.218611,-78.509722,11/03/2021
1675,Santa Elena,401178,410,0,280,-2.2267,-80.8583,11/03/2021
1676,Sto. Domingo Tsáchilas,511151,485,3,123,-0.254167,-79.171944,11/03/2021
1677,Sucumbíos,230503,111,0,3,0.084722,-76.882778,11/03/2021
1678,Tungurahua,590600,433,1,327,-1.241667,-78.619722,11/03/2021
1679,Zamora Chinchipe,120416,65,1,2,-4.12,-78.8,11/03/2021
1680,Azuay,881394,321,5,28,-2.897414,-79.004481,12/03/2021
1681,Bolívar,209933,83,0,17,-1.605556,-79.003056,12/03/2021
1682,Carchi,186869,197,1,3,0.81218,-77.71633,12/03/2021
1683,Cañar,281396,113,1,8,-2.733333,-78.833333,12/03/2021
1684,Chimborazo,524004,401,0,129,-1.674347,-78.648294,12/03/2021
1685,Cotopaxi,488716,391,0,88,-0.933333,-78.616667,12/03/2021
1686,El Oro,715751,733,3,218,-3.266667,-79.966667,12/03/2021
1687,Esmeraldas,591083,277,0,59,1.05,-79.2,12/03/2021
1688,Galápagos,33042,8,0,6,-0.7999999999999999,-89.4,12/03/2021
1689,Guayas,4387434,2090,1,1720,-2.183333,-79.883333,12/03/2021
1690,Imbabura,476257,271,0,20,0.362678,-78.130667,12/03/2021
1691,Loja,521154,314,2,56,-3.983333,-79.2,12/03/2021
1692,Los Ríos,921763,394,1,253,-1.8,-79.533333,12/03/2021
1693,Manabí,1562079,1652,20,1088,-1.056181,-80.455217,12/03/2021
1694,Morona Santiago,196535,47,1,0,-2.3,-78.116667,12/03/2021
1695,Napo,133705,86,1,3,-0.989,-77.8159,12/03/2021
1696,Orellana,161338,61,2,20,-0.466667,-76.966667,12/03/2021
1697,Pastaza,114202,69,2,17,-1.066667,-78.001111,12/03/2021
1698,Pichincha,3228233,2387,18,321,-0.218611,-78.509722,12/03/2021
1699,Santa Elena,401178,410,0,280,-2.2267,-80.8583,12/03/2021
1700,Sto. Domingo Tsáchilas,511151,487,2,124,-0.254167,-79.171944,12/03/2021
1701,Sucumbíos,230503,112,1,3,0.084722,-76.882778,12/03/2021
1702,Tungurahua,590600,433,0,327,-1.241667,-78.619722,12/03/2021
1703,Zamora Chinchipe,120416,66,1,2,-4.12,-78.8,12/03/2021
1704,Azuay,881394,321,0,28,-2.897414,-79.004481,13/03/2021
1705,Bolívar,209933,83,0,17,-1.605556,-79.003056,13/03/2021
1706,Carchi,186869,197,0,3,0.81218,-77.71633,13/03/2021
1707,Cañar,281396,113,0,8,-2.733333,-78.833333,13/03/2021
1708,Chimborazo,524004,401,0,129,-1.674347,-78.648294,13/03/2021
1709,Cotopaxi,488716,392,1,88,-0.933333,-78.616667,13/03/2021
1710,El Oro,715751,737,4,218,-3.266667,-79.966667,13/03/2021
1711,Esmeraldas,591083,277,0,59,1.05,-79.2,13/03/2021
1712,Galápagos,33042,8,0,6,-0.7999999999999999,-89.4,13/03/2021
1713,Guayas,4387434,2091,1,1720,-2.183333,-79.883333,13/03/2021
1714,Imbabura,476257,271,0,20,0.362678,-78.130667,13/03/2021
1715,Loja,521154,316,2,56,-3.983333,-79.2,13/03/2021
1716,Los Ríos,921763,394,0,253,-1.8,-79.533333,13/03/2021
1717,Manabí,1562079,1655,3,1088,-1.056181,-80.455217,13/03/2021
1718,Morona Santiago,196535,47,0,0,-2.3,-78.116667,13/03/2021
1719,Napo,133705,86,0,3,-0.989,-77.8159,13/03/2021
1720,Orellana,161338,61,0,20,-0.466667,-76.966667,13/03/2021
1721,Pastaza,114202,69,0,17,-1.066667,-78.001111,13/03/2021
1722,Pichincha,3228233,2396,9,321,-0.218611,-78.509722,13/03/2021
1723,Santa Elena,401178,410,0,280,-2.2267,-80.8583,13/03/2021
1724,Sto. Domingo Tsáchilas,511151,488,1,124,-0.254167,-79.171944,13/03/2021
1725,Sucumbíos,230503,113,1,3,0.084722,-76.882778,13/03/2021
1726,Tungurahua,590600,433,0,327,-1.241667,-78.619722,13/03/2021
1727,Zamora Chinchipe,120416,66,0,2,-4.12,-78.8,13/03/2021
1728,Azuay,881394,321,0,28,-2.897414,-79.004481,14/03/2021
1729,Bolívar,209933,83,0,17,-1.605556,-79.003056,14/03/2021
1730,Carchi,186869,197,0,3,0.81218,-77.71633,14/03/2021
1731,Cañar,281396,113,0,8,-2.733333,-78.833333,14/03/2021
1732,Chimborazo,524004,402,1,129,-1.674347,-78.648294,14/03/2021
1733,Cotopaxi,488716,392,0,88,-0.933333,-78.616667,14/03/2021
1734,El Oro,715751,737,0,218,-3.266667,-79.966667,14/03/2021
1735,Esmeraldas,591083,277,0,59,1.05,-79.2,14/03/2021
